id,sample,period,temp,nitrate,rep,model,Var2,r,K,s,NA,tiempo en dias desde el inicio del exp,,,numero de GR,
31 5 3 14,31 5 3,5,31,5,3,mexp.22,Estimate,0.80897974,NA,-4.498970258,NA,15,,,,
31 5 3 15,31 5 3,6,31,5,3,mexp.22,Estimate,0.806473137,NA,-4.683559598,NA,18,,,,
31 5 3 16,31 5 3,7,31,5,3,mexp.22,Estimate,0.927601382,NA,-5.358749266,NA,21,,,,
31 5 3 17,31 5 3,8,31,5,3,mexp.22,Estimate,1.122109331,NA,-8.783303972,NA,24,,,,
31 5 3 18,31 5 3,9,31,5,3,mexp.22,Estimate,0.763915712,NA,-4.721695425,NA,27,,,,
31 5 3 19,31 5 3,10,31,5,3,mexp.22,Estimate,0.934914885,NA,-5.332849644,NA,30,,,,
31 5 3 2,31 5 3,11,31,5,3,mexp.22,Estimate,1.064220087,NA,-6.328794138,NA,33,,,,
31 5 3 20,31 5 3,12,31,5,3,mexp.22,Estimate,1.008844067,NA,-6.966964529,NA,36,,,,
31 5 3 21,31 5 3,14,31,5,3,mexp.22,Estimate,0.605464765,NA,-4.380010447,NA,42,,,,
31 5 3 22,31 5 3,15,31,5,3,mexp.22,Estimate,0.682155801,NA,-19.05661976,NA,45,,,,
31 5 3 23,31 5 3,16,31,5,3,mexp.22,Estimate,0.774631306,NA,-4.656529945,NA,48,,,,
31 5 3 24,31 5 3,17,31,5,3,mexp.22,Estimate,0.907861712,NA,-5.517018988,NA,51,,,,
31 5 3 25,31 5 3,18,31,5,3,mexp.22,Estimate,0.925935687,NA,-16.7270427,NA,54,,,,
31 5 3 26,31 5 3,19,31,5,3,mexp.22,Estimate,0.821757977,NA,-6.265550076,NA,57,,,,
31 5 3 27,31 5 3,20,31,5,3,mexp.22,Estimate,0.674481275,NA,-4.726157091,NA,60,,,,
31 5 3 28,31 5 3,21,31,5,3,mexp.22,Estimate,0.65054965,NA,-4.455446796,NA,63,,,,
31 5 3 29,31 5 3,22,31,5,3,mexp.22,Estimate,0.686524369,NA,-17.17394611,NA,66,,,,
31 5 3 3,31 5 3,23,31,5,3,mexp.22,Estimate,0.484451389,NA,-5.360904266,NA,69,,,,
31 5 3 30,31 5 3,24,31,5,3,mexp.22,Estimate,0.691340624,NA,-5.439769484,NA,72,,,,
31 5 3 31,31 5 3,25,31,5,3,mexp.22,Estimate,0.434125635,NA,-15.85651243,NA,75,,,,
31 5 3 32,31 5 3,26,31,5,3,mexp.22,Estimate,0.929605901,NA,-5.641082612,NA,78,,,,
31 5 3 33,31 5 3,27,31,5,3,mexp.22,Estimate,0.650893613,NA,-17.30149314,NA,81,,,,
31 5 3 34,31 5 3,28,31,5,3,mexp.22,Estimate,0.481368762,NA,-4.686938142,NA,84,,,,
31 5 3 35,31 5 3,29,31,5,3,mexp.22,Estimate,0.070119438,NA,-20.77315866,NA,87,,,,
31 5 3 36,31 5 3,30,31,5,3,mexp.22,Estimate,0.428496764,NA,-16.99061229,NA,90,,,,
31 5 3 37,31 5 3,31,31,5,3,mexp.22,Estimate,0.463808932,NA,-5.082620415,NA,93,,,,
31 5 3 38,31 5 3,32,31,5,3,mexp.22,Estimate,0.480870754,NA,-16.02333505,NA,96,,,,
31 5 3 39,31 5 3,33,31,5,3,mexp.22,Estimate,0.326038331,NA,-4.271992086,NA,99,,,,
31 5 3 4,31 5 3,34,31,5,3,mexp.22,Estimate,0.474951015,NA,-19.52268387,NA,102,,,,
31 5 3 40,31 5 3,35,31,5,3,mexp.22,Estimate,0.419730451,NA,-4.637395235,NA,105,,,,
