sample;date;strain;temperature;nitrate;rep.well;Abs;comments;
Chsim_11/04/2016 9:00:00_5-3_34_L1;04/11/2016 09:00;5-3;34;L1;2;0.043;;
Chsim_11/04/2016 9:00:00_5-4_34_L1;04/11/2016 09:00;5-4;34;L1;2;0.099;;
Chsim_03/04/2016 16:30:00_L1-2_34_L1;04/03/2016 16:30;L1-2;34;L1;2;0.06;;
Chsim_04/04/2016 9:00:00_L1-2_34_L1;04/04/2016 09:00;L1-2;34;L1;2;0.079;;
Chsim_05/04/2016 9:30:00_L1-2_34_L1;04/05/2016 09:30;L1-2;34;L1;2;0.106;;
Chsim_06/04/2016 8:45:00_L1-2_34_L1;04/06/2016 08:45;L1-2;34;L1;2;0.152;;
Chsim_07/04/2016 9:30:00_L1-2_34_L1;04/07/2016 09:30;L1-2;34;L1;2;0.239;;
Chsim_08/04/2016 8:30:00_L1-2_34_L1;04/08/2016 08:30;L1-2;34;L1;2;0.296;;
Chsim_10/04/2016 11:00:00_L1-4_34_L1;04/10/2016 11:00;L1-4;34;L1;1;0.044;;
Chsim_11/04/2016 9:00:00_L1-4_34_L1;04/11/2016 09:00;L1-4;34;L1;1;0.036;;
Chsim_03/04/2016 16:30:00_L1-4_34_L1;04/03/2016 16:30;L1-4;34;L1;2;0.031;;
Chsim_04/04/2016 9:00:00_L1-4_34_L1;04/04/2016 09:00;L1-4;34;L1;2;0.039;;
Chsim_05/04/2016 9:30:00_L1-4_34_L1;04/05/2016 09:30;L1-4;34;L1;2;0.032;;
Chsim_06/04/2016 8:45:00_L1-4_34_L1;04/06/2016 08:45;L1-4;34;L1;2;0.028;;
Chsim_04/04/2016 10:00:00_L1-2_34_L1;04/04/2016 10:00;L1-2;34;L1;1;0.018;;
Chsim_05/04/2016 9:30:00_L1-2_34_L1;04/05/2016 09:30;L1-2;34;L1;1;0.026;;
Chsim_06/04/2016 8:45:00_L1-2_34_L1;04/06/2016 08:45;L1-2;34;L1;1;0.03;;
Chsim_07/04/2016 9:30:00_L1-2_34_L1;04/07/2016 09:30;L1-2;34;L1;1;0.034;;
Chsim_08/04/2016 8:30:00_L1-2_34_L1;04/08/2016 08:30;L1-2;34;L1;1;0.039;;
Chsim_09/04/2016 11:00:00_L1-2_34_L1;04/9/2016 11:00;L1-2;34;L1;1;0.042;;
Chsim_10/04/2016 11:00:00_L1-2_34_L1;04/10/2016 11:00;L1-2;34;L1;1;0.042;;
Chsim_04/30/2016 10:00_40mlFlasks_34_L1;04/30/2016 10:00;L1-1;34;L1;ANCESTRAL;0.018;;
Chsim_04/30/2016 10:00_40mlFlasks_34_L1;04/30/2016 10:00;L1-2;34;L1;ANCESTRAL;0.006;;
Chsim_04/30/2016 10:00_40mlFlasks_34_L1;04/30/2016 10:00;L1-4;34;L1;ANCESTRAL;0.029;;
Chsim_04/30/2016 10:00_40mlFlasks_34_5;04/30/2016 10:00;5-1;34;L1;ANCESTRAL;0.008;;
Chsim_04/30/2016 10:00_40mlFlasks_34_5;04/30/2016 10:00;5-2;34;L1;ANCESTRAL;0.005;;
Chsim_04/30/2016 10:00_40mlFlasks_34_5;04/30/2016 10:00;5-3;34;L1;ANCESTRAL;0.001;;
Chsim_04/30/2016 10:00_40mlFlasks_34_5;04/30/2016 10:00;5-4;34;L1;ANCESTRAL;0.007;;
Chsim_01/05/2016 8:30:00_40mlFlasks_34_L1;05/01/2016 08:30;L1-1;34;L1;ANCESTRAL;0.021;;
Chsim_01/05/2016 8:30:00_40mlFlasks_34_L1;05/01/2016 08:30;L1-2;34;L1;ANCESTRAL;0.001;;
Chsim_01/05/2016 8:30:00_40mlFlasks_34_L1;05/01/2016 08:30;L1-4;34;L1;ANCESTRAL;0.026;;
Chsim_01/05/2016 8:30:00_40mlFlasks_34_5;05/01/2016 08:30;5-1;34;L1;ANCESTRAL;0.007;;
Chsim_01/05/2016 8:30:00_40mlFlasks_34_5;05/01/2016 08:30;5-2;34;L1;ANCESTRAL;0.001;;
Chsim_01/05/2016 8:30:00_40mlFlasks_34_5;05/01/2016 08:30;5-3;34;L1;ANCESTRAL;0.001;;
Chsim_01/05/2016 8:30:00_40mlFlasks_34_5;05/01/2016 08:30;5-4;34;L1;ANCESTRAL;0.003;;
Chsim_02/05/2016 9:40:00_40mlFlasks_34_L1;05/02/2016 09:40;L1-1;34;L1;ANCESTRAL;0.024;;
